palabra,frecuencia,ranking
comida,60013,1
buena,45645,2
atención,40763,3
lugar,33661,4
excelente,32558,5
buen,23370,6
servicio,21350,7
ambiente,18945,8
bueno,15186,9
platos,15184,10
rico,15126,11
sabor,13091,12
mejor,12072,13
agradable,11782,14
estaba,10827,15
precio,9397,16
restaurante,9278,17
calidad,9260,18
recomiendo,8726,19
precios,8542,20
pollo,8198,21
local,8027,22
experiencia,7856,23
rica,7553,24
ceviche,7245,25
buenos,7140,26
recomendado,6904,27
delicioso,6903,28
comer,6810,29
deliciosa,6390,30
